Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
55-64,male,2020-12-20,1,1,0.02,0,,,,2020-12-20,2020-12-20
45-54,female,2020-12-20,732,743,6.76,33,,,1,2020-12-20,2020-12-20
65+,male,2020-12-20,4,8,0.04,1,,,,2020-12-20,2020-12-20
35-44,female,2020-12-20,1014,1148,10.86,98,,2,1,2020-12-20,2020-12-20
35-44,male,2020-12-20,2288,2682,25.46,169,1,2,5,2020-12-20,2020-12-20
25-34,male,2020-12-20,1038,1180,10.73,88,,,,2020-12-20,2020-12-20
45-54,male,2020-12-20,1372,1571,13.98,99,,1,8,2020-12-20,2020-12-20
25-34,female,2020-12-20,430,472,4.68,51,1,,2,2020-12-20,2020-12-20
18-24,female,2020-12-20,26,32,0.26,4,,,1,2020-12-20,2020-12-20
18-24,male,2020-12-20,32,44,0.39,2,,,,2020-12-20,2020-12-20
55-64,female,2020-12-20,4,4,0.03,0,,,,2020-12-20,2020-12-20
45-54,unknown,2020-12-20,1,1,0.01,0,,,,2020-12-20,2020-12-20
35-44,unknown,2020-12-20,0,1,0,0,,,,2020-12-20,2020-12-20
25-34,unknown,2020-12-20,0,2,0.01,0,,,,2020-12-20,2020-12-20
25-34,male,2020-12-19,689,731,10.43,61,,,,2020-12-19,2020-12-19
45-54,male,2020-12-19,703,751,9.31,63,,1,2,2020-12-19,2020-12-19
35-44,male,2020-12-19,1270,1360,18.12,103,,1,5,2020-12-19,2020-12-19
65+,male,2020-12-19,3,4,0.06,0,,,,2020-12-19,2020-12-19
55-64,male,2020-12-19,2,2,0.05,0,,,,2020-12-19,2020-12-19
35-44,female,2020-12-19,767,819,10.66,47,,,2,2020-12-19,2020-12-19
55-64,female,2020-12-19,1,1,0.01,0,,,,2020-12-19,2020-12-19
45-54,female,2020-12-19,435,459,6.79,20,,,,2020-12-19,2020-12-19
25-34,female,2020-12-19,304,321,4.5,29,,,,2020-12-19,2020-12-19
18-24,male,2020-12-19,38,44,0.65,5,,,,2020-12-19,2020-12-19
18-24,female,2020-12-19,24,25,0.38,0,,,,2020-12-19,2020-12-19
35-44,unknown,2020-12-19,5,5,0.07,1,,,,2020-12-19,2020-12-19
45-54,unknown,2020-12-19,4,4,0.06,0,,,,2020-12-19,2020-12-19
45-54,female,2020-12-04,19,21,0.4,1,,,,2020-12-04,2020-12-04
18-24,female,2020-12-04,8,8,0.17,2,,,,2020-12-04,2020-12-04
35-44,female,2020-12-04,66,77,1.18,3,,,,2020-12-04,2020-12-04
35-44,male,2020-12-04,135,149,1.67,5,,,,2020-12-04,2020-12-04
25-34,male,2020-12-04,82,95,1.24,5,,,,2020-12-04,2020-12-04
45-54,male,2020-12-04,38,48,0.85,3,,,,2020-12-04,2020-12-04
65+,male,2020-12-04,1,1,0.01,0,,,,2020-12-04,2020-12-04
25-34,female,2020-12-04,36,41,0.58,0,,,,2020-12-04,2020-12-04
18-24,male,2020-12-04,8,8,0.09,1,,,,2020-12-04,2020-12-04
55-64,male,2020-12-04,1,1,0.04,0,,,,2020-12-04,2020-12-04
45-54,female,2020-12-03,46,58,0.79,1,,,,2020-12-03,2020-12-03
35-44,female,2020-12-03,156,235,3.63,11,1,,,2020-12-03,2020-12-03
25-34,female,2020-12-03,104,141,1.66,4,,,,2020-12-03,2020-12-03
35-44,male,2020-12-03,376,535,6.36,20,,1,1,2020-12-03,2020-12-03
25-34,male,2020-12-03,231,324,3.49,10,,,,2020-12-03,2020-12-03
45-54,male,2020-12-03,138,195,2.64,26,,1,1,2020-12-03,2020-12-03
55-64,male,2020-12-03,6,9,0.11,1,,,,2020-12-03,2020-12-03
18-24,female,2020-12-03,20,31,0.37,2,,,,2020-12-03,2020-12-03
65+,male,2020-12-03,3,4,0.04,0,,,,2020-12-03,2020-12-03
18-24,male,2020-12-03,24,33,0.36,0,,,,2020-12-03,2020-12-03
35-44,unknown,2020-12-03,1,1,0.01,0,,,,2020-12-03,2020-12-03
25-34,unknown,2020-12-03,2,2,0.03,0,,,,2020-12-03,2020-12-03
45-54,unknown,2020-12-03,1,1,0,0,,,,2020-12-03,2020-12-03
18-24,female,2020-12-02,22,29,0.25,0,,,,2020-12-02,2020-12-02
45-54,male,2020-12-02,137,205,2.23,5,,,,2020-12-02,2020-12-02
25-34,male,2020-12-02,232,330,3.27,13,,,,2020-12-02,2020-12-02
18-24,male,2020-12-02,18,35,0.34,4,,,,2020-12-02,2020-12-02
35-44,male,2020-12-02,385,521,6.87,15,,,,2020-12-02,2020-12-02
45-54,female,2020-12-02,50,66,0.83,1,,,,2020-12-02,2020-12-02
35-44,female,2020-12-02,186,265,4.12,15,,,2,2020-12-02,2020-12-02
45-54,unknown,2020-12-02,1,1,0,0,,,,2020-12-02,2020-12-02
35-44,unknown,2020-12-02,1,1,0.01,1,,,,2020-12-02,2020-12-02
25-34,female,2020-12-02,81,110,1.32,2,,,,2020-12-02,2020-12-02
65+,male,2020-12-02,3,3,0.07,0,,,,2020-12-02,2020-12-02
55-64,female,2020-12-02,1,1,0,0,,,,2020-12-02,2020-12-02
55-64,male,2020-12-02,2,2,0,0,,,,2020-12-02,2020-12-02
65+,female,2020-12-02,1,2,0.02,0,,,,2020-12-02,2020-12-02
45-54,male,2020-12-01,152,209,2.23,9,,,,2020-12-01,2020-12-01
35-44,male,2020-12-01,457,625,6.62,30,,1,,2020-12-01,2020-12-01
25-34,male,2020-12-01,252,360,4.01,21,,,1,2020-12-01,2020-12-01
35-44,female,2020-12-01,183,272,3.93,12,,1,2,2020-12-01,2020-12-01
18-24,female,2020-12-01,18,21,0.35,2,,,,2020-12-01,2020-12-01
45-54,female,2020-12-01,46,61,0.92,2,,,,2020-12-01,2020-12-01
55-64,male,2020-12-01,2,2,0.02,0,,,,2020-12-01,2020-12-01
25-34,female,2020-12-01,95,129,1.53,3,,,,2020-12-01,2020-12-01
18-24,male,2020-12-01,22,34,0.24,0,,,,2020-12-01,2020-12-01
55-64,female,2020-12-01,1,2,0.02,0,,,,2020-12-01,2020-12-01
25-34,unknown,2020-12-01,1,1,0,0,,,,2020-12-01,2020-12-01
35-44,unknown,2020-12-01,1,1,0,0,,,,2020-12-01,2020-12-01
65+,male,2020-12-01,4,4,0.03,0,,,,2020-12-01,2020-12-01
35-44,female,2020-11-30,575,721,9.51,38,,,1,2020-11-30,2020-11-30
25-34,male,2020-11-30,900,1065,11.16,59,,,1,2020-11-30,2020-11-30
35-44,male,2020-11-30,1462,1728,18.88,74,1,,3,2020-11-30,2020-11-30
25-34,female,2020-11-30,329,383,4.61,28,,,2,2020-11-30,2020-11-30
45-54,male,2020-11-30,596,689,7.33,30,,,2,2020-11-30,2020-11-30
45-54,female,2020-11-30,255,298,3.04,10,,,,2020-11-30,2020-11-30
18-24,female,2020-11-30,32,36,0.51,2,,,,2020-11-30,2020-11-30
55-64,male,2020-11-30,2,4,0.08,0,,,,2020-11-30,2020-11-30
25-34,unknown,2020-11-30,1,1,0.01,0,,,,2020-11-30,2020-11-30
18-24,male,2020-11-30,45,61,0.72,3,,,,2020-11-30,2020-11-30
65+,female,2020-11-30,1,1,0.02,0,,,,2020-11-30,2020-11-30
65+,unknown,2020-11-30,1,1,0.01,0,,,,2020-11-30,2020-11-30
55-64,female,2020-11-30,2,2,0.09,0,,,,2020-11-30,2020-11-30
65+,male,2020-11-30,2,2,0.01,0,,,,2020-11-30,2020-11-30
45-54,unknown,2020-11-30,1,1,0.01,0,,,,2020-11-30,2020-11-30
35-44,unknown,2020-11-30,3,3,0.02,0,,,,2020-11-30,2020-11-30
35-44,male,2020-11-29,2314,2703,28.6,114,2,1,3,2020-11-29,2020-11-29
25-34,male,2020-11-29,1020,1292,13.16,62,,,,2020-11-29,2020-11-29
45-54,male,2020-11-29,1050,1231,11.88,46,,,3,2020-11-29,2020-11-29
35-44,female,2020-11-29,914,1103,12.82,37,,,,2020-11-29,2020-11-29
25-34,female,2020-11-29,392,500,5.92,25,1,,,2020-11-29,2020-11-29
45-54,female,2020-11-29,394,489,4.9,28,,,,2020-11-29,2020-11-29
18-24,female,2020-11-29,38,53,0.84,2,,,,2020-11-29,2020-11-29
18-24,male,2020-11-29,50,74,0.92,5,,,,2020-11-29,2020-11-29
65+,female,2020-11-29,3,3,0.06,1,,,,2020-11-29,2020-11-29
55-64,female,2020-11-29,4,4,0.16,0,,,,2020-11-29,2020-11-29
35-44,unknown,2020-11-29,0,5,0.05,0,,,,2020-11-29,2020-11-29
25-34,unknown,2020-11-29,1,1,0,0,,,,2020-11-29,2020-11-29
65+,male,2020-11-29,5,5,0.01,0,,,,2020-11-29,2020-11-29
55-64,male,2020-11-29,2,13,0.2,0,,,,2020-11-29,2020-11-29
65+,unknown,2020-11-29,2,2,0.01,0,,,,2020-11-29,2020-11-29
45-54,unknown,2020-11-29,0,1,0.01,0,,,,2020-11-29,2020-11-29
35-44,female,2020-11-28,760,955,14.47,42,,,3,2020-11-28,2020-11-28
45-54,male,2020-11-28,852,1016,12.97,65,,,2,2020-11-28,2020-11-28
45-54,female,2020-11-28,360,405,5.26,15,,,1,2020-11-28,2020-11-28
35-44,male,2020-11-28,1770,2116,28.77,103,1,2,5,2020-11-28,2020-11-28
25-34,unknown,2020-11-28,2,2,0.03,0,,,,2020-11-28,2020-11-28
65+,female,2020-11-28,2,3,0.07,0,,,,2020-11-28,2020-11-28
25-34,male,2020-11-28,872,1054,13.83,65,,,,2020-11-28,2020-11-28
18-24,male,2020-11-28,58,81,1.33,5,,,,2020-11-28,2020-11-28
25-34,female,2020-11-28,382,473,7.14,22,,,,2020-11-28,2020-11-28
18-24,female,2020-11-28,44,49,0.72,1,,,,2020-11-28,2020-11-28
65+,unknown,2020-11-28,1,1,0.01,0,,,,2020-11-28,2020-11-28
55-64,male,2020-11-28,2,6,0.09,0,,,,2020-11-28,2020-11-28
55-64,female,2020-11-28,0,1,0.01,0,,,,2020-11-28,2020-11-28
65+,male,2020-11-28,0,2,0.01,0,,,,2020-11-28,2020-11-28
35-44,unknown,2020-11-28,4,5,0.05,0,,,,2020-11-28,2020-11-28
18-24,male,2020-11-27,48,94,1.4,15,,,,2020-11-27,2020-11-27
25-34,male,2020-11-27,1044,1206,15.92,69,,1,1,2020-11-27,2020-11-27
45-54,male,2020-11-27,764,897,12.39,52,,1,2,2020-11-27,2020-11-27
35-44,male,2020-11-27,1774,2005,26.85,90,,,3,2020-11-27,2020-11-27
25-34,female,2020-11-27,510,539,7.93,31,,,1,2020-11-27,2020-11-27
35-44,female,2020-11-27,738,903,13.77,54,,,3,2020-11-27,2020-11-27
45-54,female,2020-11-27,308,362,5.72,21,1,,,2020-11-27,2020-11-27
65+,unknown,2020-11-27,1,1,0.01,0,,,,2020-11-27,2020-11-27
18-24,female,2020-11-27,42,60,1.03,2,,,,2020-11-27,2020-11-27
25-34,unknown,2020-11-27,2,2,0.01,0,,,,2020-11-27,2020-11-27
35-44,unknown,2020-11-27,0,4,0.03,0,,,,2020-11-27,2020-11-27
65+,female,2020-11-27,2,3,0.06,1,,,,2020-11-27,2020-11-27
55-64,male,2020-11-27,2,3,0.09,0,,,,2020-11-27,2020-11-27
65+,male,2020-11-27,4,4,0.01,0,,,,2020-11-27,2020-11-27
25-34,female,2020-11-26,548,666,8.81,42,,,,2020-11-26,2020-11-26
35-44,female,2020-11-26,938,1197,16.27,58,,1,1,2020-11-26,2020-11-26
35-44,male,2020-11-26,1584,1905,24.04,87,1,1,3,2020-11-26,2020-11-26
25-34,male,2020-11-26,884,1154,14.23,58,,,,2020-11-26,2020-11-26
45-54,female,2020-11-26,392,437,5.21,20,,,,2020-11-26,2020-11-26
18-24,female,2020-11-26,54,78,1.17,5,,,,2020-11-26,2020-11-26
45-54,male,2020-11-26,774,903,11.38,54,,,1,2020-11-26,2020-11-26
18-24,male,2020-11-26,58,79,1.16,9,,,,2020-11-26,2020-11-26
65+,male,2020-11-26,4,4,0.03,0,,,,2020-11-26,2020-11-26
65+,female,2020-11-26,0,3,0.1,0,,,,2020-11-26,2020-11-26
55-64,male,2020-11-26,0,4,0.1,0,,,,2020-11-26,2020-11-26
55-64,female,2020-11-26,2,2,0.06,0,,,,2020-11-26,2020-11-26
35-44,unknown,2020-11-26,2,3,0.01,0,,,,2020-11-26,2020-11-26
18-24,male,2020-11-25,154,168,2.89,7,,,1,2020-11-25,2020-11-25
18-24,female,2020-11-25,154,176,3.56,9,,,1,2020-11-25,2020-11-25
35-44,female,2020-11-25,1988,2257,37.18,123,,,3,2020-11-25,2020-11-25
35-44,male,2020-11-25,2648,2902,42.91,171,,2,6,2020-11-25,2020-11-25
25-34,male,2020-11-25,1566,1779,27.02,90,,,1,2020-11-25,2020-11-25
45-54,male,2020-11-25,990,1077,15.88,45,,1,2,2020-11-25,2020-11-25
25-34,female,2020-11-25,1246,1392,25.87,74,,,,2020-11-25,2020-11-25
65+,female,2020-11-25,2,3,0.05,2,,,,2020-11-25,2020-11-25
55-64,female,2020-11-25,3,3,0.12,1,,,1,2020-11-25,2020-11-25
25-34,unknown,2020-11-25,3,3,0.03,0,,,,2020-11-25,2020-11-25
45-54,unknown,2020-11-25,0,1,0.01,0,,,,2020-11-25,2020-11-25
65+,unknown,2020-11-25,1,1,0.01,0,,,,2020-11-25,2020-11-25
45-54,female,2020-11-25,662,706,10.99,31,,,,2020-11-25,2020-11-25
35-44,unknown,2020-11-25,2,9,0.12,0,,,,2020-11-25,2020-11-25
65+,male,2020-11-25,8,8,0.1,0,,,,2020-11-25,2020-11-25
55-64,male,2020-11-25,6,7,0.17,0,,,,2020-11-25,2020-11-25
25-34,male,2020-11-24,939,1094,11.87,55,,,,2020-11-24,2020-11-24
35-44,male,2020-11-24,1463,1661,19.18,81,,1,1,2020-11-24,2020-11-24
25-34,female,2020-11-24,653,719,8.38,35,,1,,2020-11-24,2020-11-24
45-54,male,2020-11-24,587,658,7.74,44,,,1,2020-11-24,2020-11-24
35-44,female,2020-11-24,915,1034,13.72,62,,,1,2020-11-24,2020-11-24
35-44,unknown,2020-11-24,5,5,0.05,2,,,,2020-11-24,2020-11-24
18-24,male,2020-11-24,76,93,1.17,9,,,,2020-11-24,2020-11-24
55-64,female,2020-11-24,3,3,0.09,1,,,,2020-11-24,2020-11-24
18-24,female,2020-11-24,65,74,0.92,2,3,,,2020-11-24,2020-11-24
55-64,male,2020-11-24,1,3,0.1,0,,,,2020-11-24,2020-11-24
65+,male,2020-11-24,5,6,0.04,0,,,,2020-11-24,2020-11-24
65+,unknown,2020-11-24,1,1,0.01,0,,,,2020-11-24,2020-11-24
45-54,unknown,2020-11-24,1,1,0.01,0,,,,2020-11-24,2020-11-24
25-34,unknown,2020-11-24,2,2,0.01,0,,,,2020-11-24,2020-11-24
45-54,female,2020-11-24,271,304,4.15,10,,,,2020-11-24,2020-11-24
18-24,male,2020-11-23,168,241,2.51,15,,,,2020-11-23,2020-11-23
45-54,male,2020-11-23,1312,1633,19.57,97,,,3,2020-11-23,2020-11-23
35-44,male,2020-11-23,3364,4577,52.65,281,1,1,7,2020-11-23,2020-11-23
25-34,male,2020-11-23,2036,2928,31.52,170,,,2,2020-11-23,2020-11-23
25-34,female,2020-11-23,1204,1597,17.56,88,1,,2,2020-11-23,2020-11-23
45-54,female,2020-11-23,704,820,9.26,55,,,3,2020-11-23,2020-11-23
45-54,unknown,2020-11-23,0,2,0.02,0,,,,2020-11-23,2020-11-23
55-64,male,2020-11-23,0,7,0.17,2,,1,,2020-11-23,2020-11-23
35-44,unknown,2020-11-23,0,10,0.1,0,,,,2020-11-23,2020-11-23
35-44,female,2020-11-23,1952,2556,28.52,148,1,,,2020-11-23,2020-11-23
18-24,female,2020-11-23,116,165,1.98,19,,,,2020-11-23,2020-11-23
65+,male,2020-11-23,4,10,0.09,0,,,,2020-11-23,2020-11-23
65+,unknown,2020-11-23,2,2,0.01,1,,,,2020-11-23,2020-11-23
55-64,female,2020-11-23,4,6,0.22,0,,,,2020-11-23,2020-11-23
65+,female,2020-11-23,3,3,0.07,1,,,,2020-11-23,2020-11-23
25-34,unknown,2020-11-23,2,2,0,0,,,,2020-11-23,2020-11-23
35-44,female,2020-11-22,2300,3123,35.7,147,1,1,2,2020-11-22,2020-11-22
18-24,male,2020-11-22,184,242,2.84,20,1,,,2020-11-22,2020-11-22
35-44,male,2020-11-22,3964,5796,66.46,322,1,1,3,2020-11-22,2020-11-22
45-54,male,2020-11-22,1588,2039,23.72,153,2,2,1,2020-11-22,2020-11-22
55-64,female,2020-11-22,4,7,0.11,1,,,,2020-11-22,2020-11-22
18-24,female,2020-11-22,128,145,1.78,13,,,,2020-11-22,2020-11-22
45-54,female,2020-11-22,868,951,10.55,53,1,,3,2020-11-22,2020-11-22
25-34,female,2020-11-22,1272,1639,17.8,75,,,2,2020-11-22,2020-11-22
25-34,male,2020-11-22,1976,3247,34.97,184,,,2,2020-11-22,2020-11-22
55-64,male,2020-11-22,0,7,0.12,1,,,,2020-11-22,2020-11-22
65+,male,2020-11-22,0,4,0.02,1,,,,2020-11-22,2020-11-22
35-44,unknown,2020-11-22,4,17,0.16,0,,,,2020-11-22,2020-11-22
45-54,unknown,2020-11-22,0,1,0.01,0,,,,2020-11-22,2020-11-22
25-34,unknown,2020-11-22,4,4,0.03,0,,,,2020-11-22,2020-11-22
65+,unknown,2020-11-22,2,2,0.01,0,,,,2020-11-22,2020-11-22
25-34,female,2020-11-21,1032,1039,11.15,47,,1,2,2020-11-21,2020-11-21
35-44,male,2020-11-21,3680,4020,38.1,233,,6,6,2020-11-21,2020-11-21
25-34,male,2020-11-21,1808,2062,20.39,91,1,1,1,2020-11-21,2020-11-21
45-54,female,2020-11-21,943,943,9.54,66,1,1,3,2020-11-21,2020-11-21
45-54,male,2020-11-21,1700,1849,18.27,104,,,5,2020-11-21,2020-11-21
35-44,female,2020-11-21,2056,2216,22.83,117,1,,3,2020-11-21,2020-11-21
18-24,female,2020-11-21,88,98,1.12,16,,,,2020-11-21,2020-11-21
18-24,unknown,2020-11-21,0,1,0.01,0,,,,2020-11-21,2020-11-21
45-54,unknown,2020-11-21,0,2,0.03,0,,,,2020-11-21,2020-11-21
25-34,unknown,2020-11-21,0,4,0.04,0,,,,2020-11-21,2020-11-21
18-24,male,2020-11-21,196,238,2.54,15,,,,2020-11-21,2020-11-21
35-44,unknown,2020-11-21,8,10,0.19,0,,,,2020-11-21,2020-11-21
55-64,male,2020-11-21,0,6,0.14,1,,,,2020-11-21,2020-11-21
55-64,female,2020-11-21,0,3,0.04,1,,,,2020-11-21,2020-11-21
65+,male,2020-11-21,4,6,0.14,0,,,,2020-11-21,2020-11-21
65+,unknown,2020-11-21,1,1,0.01,0,,,,2020-11-21,2020-11-21
65+,female,2020-11-21,0,1,0.01,0,,,,2020-11-21,2020-11-21
35-44,unknown,2020-11-20,8,14,0.15,2,,,,2020-11-20,2020-11-20
18-24,male,2020-11-20,244,287,2.73,22,,,,2020-11-20,2020-11-20
18-24,female,2020-11-20,92,102,1.06,9,,,,2020-11-20,2020-11-20
35-44,male,2020-11-20,3789,4150,37.18,192,1,3,7,2020-11-20,2020-11-20
45-54,male,2020-11-20,1480,1729,15.2,59,,,4,2020-11-20,2020-11-20
25-34,male,2020-11-20,2076,2473,21.63,115,,,3,2020-11-20,2020-11-20
35-44,female,2020-11-20,2136,2327,22.93,123,,,,2020-11-20,2020-11-20
45-54,female,2020-11-20,1003,1003,10.5,54,,,2,2020-11-20,2020-11-20
25-34,female,2020-11-20,1192,1311,13.39,87,,1,3,2020-11-20,2020-11-20
25-34,unknown,2020-11-20,0,4,0.04,0,,,,2020-11-20,2020-11-20
45-54,unknown,2020-11-20,0,2,0.02,0,,,,2020-11-20,2020-11-20
65+,male,2020-11-20,1,1,0.01,0,,,,2020-11-20,2020-11-20
65+,unknown,2020-11-20,1,1,0.01,0,,,,2020-11-20,2020-11-20
55-64,male,2020-11-20,4,4,0.05,0,,,,2020-11-20,2020-11-20
65+,female,2020-11-20,1,1,0,0,,,,2020-11-20,2020-11-20
45-54,female,2020-11-19,919,919,8.79,53,,1,1,2020-11-19,2020-11-19
18-24,male,2020-11-19,316,370,3.34,30,,,,2020-11-19,2020-11-19
35-44,female,2020-11-19,2340,2400,21.08,127,,,5,2020-11-19,2020-11-19
35-44,male,2020-11-19,3800,4187,34.17,185,,9,7,2020-11-19,2020-11-19
25-34,male,2020-11-19,2400,2600,21.16,131,,2,1,2020-11-19,2020-11-19
25-34,female,2020-11-19,1396,1472,13.43,104,,1,2,2020-11-19,2020-11-19
45-54,male,2020-11-19,1652,1813,15.32,84,,,4,2020-11-19,2020-11-19
18-24,female,2020-11-19,148,148,1.5,15,,,,2020-11-19,2020-11-19
18-24,unknown,2020-11-19,0,1,0.01,0,,,,2020-11-19,2020-11-19
45-54,unknown,2020-11-19,6,6,0.05,0,,,,2020-11-19,2020-11-19
25-34,unknown,2020-11-19,0,1,0.01,0,,,,2020-11-19,2020-11-19
35-44,unknown,2020-11-19,17,17,0.11,1,,,,2020-11-19,2020-11-19
65+,male,2020-11-19,1,1,0,0,,,,2020-11-19,2020-11-19
55-64,male,2020-11-19,0,2,0.04,0,,,,2020-11-19,2020-11-19
65+,unknown,2020-11-19,1,1,0.01,0,,,,2020-11-19,2020-11-19
65+,female,2020-11-19,2,2,0,1,,,,2020-11-19,2020-11-19
45-54,male,2020-11-18,1576,1781,14.898800128845,89,,2,3,2020-11-18,2020-11-18
