Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
45-54,unknown,2020-10-17,0,4,0.04,0,,,,2020-10-17,2020-10-17
25-34,unknown,2020-10-17,16,20,0.25,2,,,,2020-10-17,2020-10-17
18-24,unknown,2020-10-17,1,1,0.02,0,,,,2020-10-17,2020-10-17
35-44,unknown,2020-10-17,24,56,0.48,3,,,,2020-10-17,2020-10-17
55-64,female,2020-10-17,0,5,0.02,0,,,,2020-10-17,2020-10-17
65+,female,2020-10-17,0,11,0.12,3,,,,2020-10-17,2020-10-17
65+,male,2020-10-17,8,9,0.08,0,,,,2020-10-17,2020-10-17
55-64,male,2020-10-17,0,4,0.04,0,,,,2020-10-17,2020-10-17
18-24,male,2020-10-16,752,797,9.19,49,,,4,2020-10-16,2020-10-16
18-24,female,2020-10-16,826,826,10.21,54,1,,2,2020-10-16,2020-10-16
45-54,male,2020-10-16,1360,1531,14.3,209,2,1,12,2020-10-16,2020-10-16
25-34,female,2020-10-16,4752,5335,63.03,488,1,4,15,2020-10-16,2020-10-16
25-34,male,2020-10-16,5008,5462,56.99,551,3,9,13,2020-10-16,2020-10-16
35-44,female,2020-10-16,5384,5865,54.56,717,,8,23,2020-10-16,2020-10-16
45-54,female,2020-10-16,888,1026,8.57,122,,1,3,2020-10-16,2020-10-16
35-44,male,2020-10-16,6120,6891,61.69,735,4,6,28,2020-10-16,2020-10-16
35-44,unknown,2020-10-16,24,38,0.4,6,,,,2020-10-16,2020-10-16
65+,female,2020-10-16,0,1,0.02,1,,,,2020-10-16,2020-10-16
45-54,unknown,2020-10-16,0,4,0.01,0,,,,2020-10-16,2020-10-16
25-34,unknown,2020-10-16,18,18,0.26,0,,,,2020-10-16,2020-10-16
18-24,unknown,2020-10-16,0,4,0.03,0,,,,2020-10-16,2020-10-16
55-64,female,2020-10-16,0,1,0.01,0,,,,2020-10-16,2020-10-16
55-64,male,2020-10-16,0,3,0.02,0,,,,2020-10-16,2020-10-16
65+,male,2020-10-16,7,7,0.05,0,,,,2020-10-16,2020-10-16
45-54,female,2020-10-15,914,914,7.8405597201399,125,,,9,2020-10-15,2020-10-15
18-24,male,2020-10-15,824,870,9.4106718069537,61,,1,3,2020-10-15,2020-10-15
45-54,male,2020-10-15,1696,1797,16.08114799743,220,,3,18,2020-10-15,2020-10-15
25-34,female,2020-10-15,4488,4732,56.344022274577,485,3,4,4,2020-10-15,2020-10-15
35-44,female,2020-10-15,4944,5428,49.163509673735,605,,2,22,2020-10-15,2020-10-15
35-44,male,2020-10-15,7768,8296,70.495032483758,905,3,10,22,2020-10-15,2020-10-15
25-34,male,2020-10-15,5352,5949,59.914277147141,549,,4,11,2020-10-15,2020-10-15
18-24,female,2020-10-15,712,806,10.170726065539,52,1,,,2020-10-15,2020-10-15
35-44,unknown,2020-10-15,45,45,0.43003069893625,2,,,,2020-10-15,2020-10-15
45-54,unknown,2020-10-15,0,5,0.040002855715,1,,,,2020-10-15,2020-10-15
55-64,male,2020-10-15,0,8,0.13000928107375,1,,,,2020-10-15,2020-10-15
18-24,unknown,2020-10-15,0,1,0,0,,,,2020-10-15,2020-10-15
25-34,unknown,2020-10-15,11,11,0.1000071392875,0,,,,2020-10-15,2020-10-15
65+,male,2020-10-15,3,3,0.0200014278575,0,,,,2020-10-15,2020-10-15
65+,female,2020-10-15,0,1,0.0200014278575,0,,,,2020-10-15,2020-10-15
35-44,unknown,2020-10-14,24,49,0.44,3,,,,2020-10-14,2020-10-14
18-24,male,2020-10-14,680,763,7.87,47,,,2,2020-10-14,2020-10-14
25-34,male,2020-10-14,4928,5762,54.28,493,5,5,13,2020-10-14,2020-10-14
25-34,female,2020-10-14,4952,5438,64.71,448,,1,5,2020-10-14,2020-10-14
45-54,male,2020-10-14,1760,1842,15.48,225,1,2,7,2020-10-14,2020-10-14
35-44,female,2020-10-14,5496,5817,50.67,663,1,6,15,2020-10-14,2020-10-14
18-24,female,2020-10-14,832,903,10.8,68,1,,,2020-10-14,2020-10-14
45-54,female,2020-10-14,1040,1172,10.13,133,,,3,2020-10-14,2020-10-14
25-34,unknown,2020-10-14,24,24,0.22,1,,,,2020-10-14,2020-10-14
35-44,male,2020-10-14,6928,7909,62.54,766,3,6,22,2020-10-14,2020-10-14
45-54,unknown,2020-10-14,6,6,0.04,0,,,,2020-10-14,2020-10-14
65+,female,2020-10-14,4,4,0.13,2,,,,2020-10-14,2020-10-14
18-24,unknown,2020-10-14,1,1,0.01,0,,,,2020-10-14,2020-10-14
55-64,male,2020-10-14,0,10,0.16,0,,,,2020-10-14,2020-10-14
55-64,female,2020-10-14,5,5,0.06,0,,,,2020-10-14,2020-10-14
65+,male,2020-10-14,6,6,0.03,0,,,,2020-10-14,2020-10-14
35-44,male,2020-10-13,6296,7100,60.98,721,7,7,25,2020-10-13,2020-10-13
35-44,female,2020-10-13,6120,6261,56.61,727,1,3,26,2020-10-13,2020-10-13
25-34,male,2020-10-13,4648,5361,51.78,460,1,2,9,2020-10-13,2020-10-13
18-24,female,2020-10-13,712,781,8.55,45,,,1,2020-10-13,2020-10-13
25-34,female,2020-10-13,5440,5714,67.16,511,,1,17,2020-10-13,2020-10-13
45-54,male,2020-10-13,1512,1606,14.44,204,1,3,8,2020-10-13,2020-10-13
45-54,female,2020-10-13,1200,1226,11.91,160,1,1,10,2020-10-13,2020-10-13
18-24,male,2020-10-13,568,639,7.43,45,,,3,2020-10-13,2020-10-13
25-34,unknown,2020-10-13,8,18,0.17,1,,,,2020-10-13,2020-10-13
35-44,unknown,2020-10-13,24,50,0.43,4,,,,2020-10-13,2020-10-13
55-64,male,2020-10-13,0,10,0.12,2,,,,2020-10-13,2020-10-13
45-54,unknown,2020-10-13,8,9,0.1,1,,,,2020-10-13,2020-10-13
18-24,unknown,2020-10-13,1,1,0,0,,,,2020-10-13,2020-10-13
65+,female,2020-10-13,2,2,0.03,0,,,,2020-10-13,2020-10-13
55-64,female,2020-10-13,6,6,0.06,1,,,,2020-10-13,2020-10-13
65+,male,2020-10-13,0,8,0.05,0,,,,2020-10-13,2020-10-13
25-34,unknown,2020-10-12,15,15,0.14,1,,,,2020-10-12,2020-10-12
45-54,male,2020-10-12,1580,1580,15.07,179,1,2,8,2020-10-12,2020-10-12
25-34,male,2020-10-12,5232,5754,51,431,3,2,12,2020-10-12,2020-10-12
45-54,female,2020-10-12,936,1018,8.7,121,,2,10,2020-10-12,2020-10-12
35-44,male,2020-10-12,7368,7735,60.8,756,3,4,22,2020-10-12,2020-10-12
18-24,female,2020-10-12,871,871,9.89,61,,,1,2020-10-12,2020-10-12
25-34,female,2020-10-12,5024,5159,55.38,461,2,,11,2020-10-12,2020-10-12
35-44,female,2020-10-12,5816,6410,55.4,651,4,,23,2020-10-12,2020-10-12
18-24,male,2020-10-12,795,795,7.91,50,,,1,2020-10-12,2020-10-12
35-44,unknown,2020-10-12,47,47,0.52,2,,,,2020-10-12,2020-10-12
65+,female,2020-10-12,4,4,0.08,1,,,,2020-10-12,2020-10-12
45-54,unknown,2020-10-12,0,6,0.09,0,,,,2020-10-12,2020-10-12
55-64,male,2020-10-12,0,8,0.06,0,,,,2020-10-12,2020-10-12
55-64,female,2020-10-12,0,6,0.1,0,,,,2020-10-12,2020-10-12
65+,male,2020-10-12,0,3,0.02,0,,,,2020-10-12,2020-10-12
45-54,male,2020-10-11,1616,1766,16.78,255,1,2,13,2020-10-11,2020-10-11
35-44,male,2020-10-11,8296,9118,82.64,997,3,3,34,2020-10-11,2020-10-11
25-34,male,2020-10-11,5600,6422,63.83,530,,1,13,2020-10-11,2020-10-11
35-44,female,2020-10-11,7952,8766,84.29,985,1,4,23,2020-10-11,2020-10-11
18-24,male,2020-10-11,821,821,8.17,51,1,,2,2020-10-11,2020-10-11
45-54,unknown,2020-10-11,0,9,0.2,6,,,1,2020-10-11,2020-10-11
25-34,unknown,2020-10-11,28,28,0.32,2,,,,2020-10-11,2020-10-11
25-34,female,2020-10-11,5744,6149,75.12,550,,1,9,2020-10-11,2020-10-11
55-64,female,2020-10-11,0,8,0.09,2,,,,2020-10-11,2020-10-11
45-54,female,2020-10-11,1464,1693,15.82,243,,1,10,2020-10-11,2020-10-11
35-44,unknown,2020-10-11,40,70,0.9,5,,,,2020-10-11,2020-10-11
65+,female,2020-10-11,0,3,0.03,0,,,,2020-10-11,2020-10-11
55-64,male,2020-10-11,0,5,0.06,0,,,,2020-10-11,2020-10-11
65+,male,2020-10-11,0,6,0.04,0,,,,2020-10-11,2020-10-11
18-24,unknown,2020-10-11,0,4,0.06,0,,,,2020-10-11,2020-10-11
18-24,female,2020-10-11,918,918,10.06,64,,,3,2020-10-11,2020-10-11
18-24,male,2020-10-10,792,906,9.98,82,2,,1,2020-10-10,2020-10-10
55-64,female,2020-10-10,8,8,0.08,2,,,,2020-10-10,2020-10-10
45-54,unknown,2020-10-10,0,5,0.14,1,,,,2020-10-10,2020-10-10
45-54,female,2020-10-10,644,644,9.76,98,,,6,2020-10-10,2020-10-10
25-34,unknown,2020-10-10,32,34,0.35,3,,,,2020-10-10,2020-10-10
18-24,female,2020-10-10,848,879,11.06,74,,,3,2020-10-10,2020-10-10
35-44,female,2020-10-10,6658,6658,71.53,735,1,8,25,2020-10-10,2020-10-10
35-44,male,2020-10-10,6592,6899,78.71,747,4,7,28,2020-10-10,2020-10-10
35-44,unknown,2020-10-10,65,65,0.85,11,,,,2020-10-10,2020-10-10
25-34,male,2020-10-10,5872,6561,77.25,606,5,6,12,2020-10-10,2020-10-10
25-34,female,2020-10-10,5728,6200,77.54,616,1,3,19,2020-10-10,2020-10-10
45-54,male,2020-10-10,864,889,15.07,101,2,,5,2020-10-10,2020-10-10
65+,female,2020-10-10,0,10,0.12,2,,,,2020-10-10,2020-10-10
65+,male,2020-10-10,4,4,0.05,0,,,,2020-10-10,2020-10-10
55-64,male,2020-10-10,0,7,0.09,1,,,,2020-10-10,2020-10-10
18-24,unknown,2020-10-10,0,1,0.01,0,,,,2020-10-10,2020-10-10
25-34,female,2020-10-09,3160,3330,35.13,341,,,7,2020-10-09,2020-10-09
25-34,male,2020-10-09,2348,2573,25.44,281,1,2,8,2020-10-09,2020-10-09
35-44,male,2020-10-09,1888,1964,16.5,197,3,,7,2020-10-09,2020-10-09
18-24,female,2020-10-09,494,494,5.81,47,,,,2020-10-09,2020-10-09
35-44,female,2020-10-09,2508,2603,22,301,,3,6,2020-10-09,2020-10-09
45-54,male,2020-10-09,8,10,0.14,7,,,2,2020-10-09,2020-10-09
18-24,male,2020-10-09,312,360,3.84,29,,,,2020-10-09,2020-10-09
45-54,female,2020-10-09,4,9,0.14,1,,,,2020-10-09,2020-10-09
55-64,female,2020-10-09,0,4,0.05,1,,,,2020-10-09,2020-10-09
25-34,unknown,2020-10-09,7,7,0.06,0,,,,2020-10-09,2020-10-09
35-44,unknown,2020-10-09,16,22,0.25,1,,,,2020-10-09,2020-10-09
65+,male,2020-10-09,0,2,0.02,0,,,,2020-10-09,2020-10-09
65+,female,2020-10-09,0,1,0.04,0,,,,2020-10-09,2020-10-09
18-24,unknown,2020-10-09,1,1,0.02,0,,,,2020-10-09,2020-10-09
18-24,female,2020-10-08,267,267,2.73,27,,,,2020-10-08,2020-10-08
35-44,unknown,2020-10-08,17,17,0.15,3,,,,2020-10-08,2020-10-08
35-44,female,2020-10-08,2506,2599,21.43,324,1,3,6,2020-10-08,2020-10-08
18-24,male,2020-10-08,270,281,2.84,30,,,,2020-10-08,2020-10-08
25-34,unknown,2020-10-08,5,5,0.05,1,,,1,2020-10-08,2020-10-08
25-34,male,2020-10-08,2274,2333,19.82,238,3,1,6,2020-10-08,2020-10-08
25-34,female,2020-10-08,2752,2841,26.83,365,,1,10,2020-10-08,2020-10-08
35-44,male,2020-10-08,2166,2196,16.94,236,,,6,2020-10-08,2020-10-08
18-24,unknown,2020-10-08,1,1,0.01,0,,,,2020-10-08,2020-10-08
35-44,unknown,2020-10-07,8,18,0.19005861935981,3,,,,2020-10-07,2020-10-07
35-44,female,2020-10-07,3184,3287,29.219011955264,357,,2,15,2020-10-07,2020-10-07
18-24,male,2020-10-07,464,478,5.1815981488623,24,,,,2020-10-07,2020-10-07
25-34,male,2020-10-07,2704,2753,28.35874662553,242,3,,7,2020-10-07,2020-10-07
18-24,female,2020-10-07,576,590,7.6123478596221,38,,,,2020-10-07,2020-10-07
25-34,female,2020-10-07,3156,3235,38.101751639028,296,1,,10,2020-10-07,2020-10-07
35-44,male,2020-10-07,2577,2577,20.776408021597,242,1,1,12,2020-10-07,2020-10-07
25-34,unknown,2020-10-07,23,23,0.23007096027767,3,,,,2020-10-07,2020-10-07
18-24,unknown,2020-10-07,1,1,0.020006170458928,0,,,,2020-10-07,2020-10-07
25-34,female,2020-10-06,3392,3554,42.51,284,1,,6,2020-10-06,2020-10-06
18-24,male,2020-10-06,448,501,4.29,24,,1,,2020-10-06,2020-10-06
35-44,female,2020-10-06,2896,3039,26.1,332,,1,14,2020-10-06,2020-10-06
18-24,female,2020-10-06,816,816,9.77,55,,,3,2020-10-06,2020-10-06
35-44,male,2020-10-06,2944,2969,20.69,275,,3,13,2020-10-06,2020-10-06
25-34,male,2020-10-06,2732,3002,25.33,208,,,9,2020-10-06,2020-10-06
35-44,unknown,2020-10-06,25,25,0.32,4,,,,2020-10-06,2020-10-06
25-34,unknown,2020-10-06,29,29,0.35,1,,,,2020-10-06,2020-10-06
18-24,unknown,2020-10-06,0,2,0.03,0,,,,2020-10-06,2020-10-06
25-34,male,2020-10-05,3244,3312,32.13,234,1,2,5,2020-10-05,2020-10-05
35-44,female,2020-10-05,3004,3068,26.71,296,,3,14,2020-10-05,2020-10-05
25-34,female,2020-10-05,3691,3690,38.98,282,1,1,8,2020-10-05,2020-10-05
35-44,male,2020-10-05,2352,2352,19.23,202,,1,5,2020-10-05,2020-10-05
18-24,female,2020-10-05,621,621,6.58,36,,,,2020-10-05,2020-10-05
18-24,male,2020-10-05,524,540,5.06,33,,,1,2020-10-05,2020-10-05
35-44,unknown,2020-10-05,20,36,0.36,4,,,,2020-10-05,2020-10-05
25-34,unknown,2020-10-05,4,27,0.36,7,,,,2020-10-05,2020-10-05
18-24,unknown,2020-10-05,3,3,0.03,0,,,,2020-10-05,2020-10-05
35-44,male,2020-10-04,2416,2477,17.55,250,1,2,10,2020-10-04,2020-10-04
25-34,female,2020-10-04,4864,4938,41.61,447,1,1,13,2020-10-04,2020-10-04
18-24,female,2020-10-04,926,926,7.21,58,,,2,2020-10-04,2020-10-04
35-44,female,2020-10-04,3732,3732,26.95,448,1,,18,2020-10-04,2020-10-04
35-44,unknown,2020-10-04,20,29,0.27,3,,,,2020-10-04,2020-10-04
25-34,male,2020-10-04,4151,4151,31.67,299,1,,13,2020-10-04,2020-10-04
18-24,male,2020-10-04,688,688,4.92,33,,,,2020-10-04,2020-10-04
25-34,unknown,2020-10-04,19,19,0.09,0,,,,2020-10-04,2020-10-04
18-24,unknown,2020-10-04,1,1,0,0,,,,2020-10-04,2020-10-04
18-24,female,2020-10-03,808,822,6.06,58,,,2,2020-10-03,2020-10-03
35-44,male,2020-10-03,2136,2281,19.34,223,1,4,13,2020-10-03,2020-10-03
18-24,male,2020-10-03,840,868,6.57,58,,,1,2020-10-03,2020-10-03
25-34,female,2020-10-03,3768,3861,31.78,364,,1,10,2020-10-03,2020-10-03
35-44,female,2020-10-03,3020,3026,22.18,313,,1,18,2020-10-03,2020-10-03
25-34,male,2020-10-03,4272,4297,37.45,302,3,1,2,2020-10-03,2020-10-03
35-44,unknown,2020-10-03,16,25,0.22,4,,,,2020-10-03,2020-10-03
25-34,unknown,2020-10-03,8,20,0.19,1,,,,2020-10-03,2020-10-03
18-24,unknown,2020-10-03,0,1,0.01,0,,,,2020-10-03,2020-10-03
18-24,female,2020-10-02,778,778,6.18,85,,1,2,2020-10-02,2020-10-02
35-44,male,2020-10-02,1406,1454,10.68,137,,3,4,2020-10-02,2020-10-02
25-34,female,2020-10-02,3294,3309,26.63,302,,1,16,2020-10-02,2020-10-02
25-34,male,2020-10-02,2252,2297,18.08,223,1,1,9,2020-10-02,2020-10-02
35-44,unknown,2020-10-02,14,18,0.22,0,,,,2020-10-02,2020-10-02
18-24,male,2020-10-02,530,530,3.79,80,,,2,2020-10-02,2020-10-02
25-34,unknown,2020-10-02,10,15,0.1,0,,,,2020-10-02,2020-10-02
35-44,female,2020-10-02,2198,2266,16.74,246,2,,12,2020-10-02,2020-10-02
25-34,male,2020-10-01,1570,1636,9.56,201,,4,9,2020-10-01,2020-10-01
18-24,female,2020-10-01,548,598,3.63,88,,1,1,2020-10-01,2020-10-01
35-44,male,2020-10-01,1262,1271,7.2,158,,8,5,2020-10-01,2020-10-01
18-24,male,2020-10-01,270,290,1.78,37,,1,1,2020-10-01,2020-10-01
35-44,unknown,2020-10-01,20,20,0.11,4,,,,2020-10-01,2020-10-01
25-34,female,2020-10-01,3528,3656,21.97,581,,2,10,2020-10-01,2020-10-01
35-44,female,2020-10-01,2954,3099,19.74,437,,4,24,2020-10-01,2020-10-01
25-34,unknown,2020-10-01,5,5,0.02,0,,,,2020-10-01,2020-10-01
18-24,unknown,2020-10-01,0,1,0.01,0,,,,2020-10-01,2020-10-01
18-24,female,2020-09-30,470,477,3.39,58,,1,1,2020-09-30,2020-09-30
18-24,male,2020-09-30,154,169,1.21,20,,,,2020-09-30,2020-09-30
35-44,male,2020-09-30,956,1001,7.18,113,1,2,7,2020-09-30,2020-09-30
25-34,female,2020-09-30,2584,2719,18.84,355,,1,9,2020-09-30,2020-09-30
25-34,male,2020-09-30,724,737,5.56,66,,,4,2020-09-30,2020-09-30
35-44,female,2020-09-30,3364,3685,27.93,484,,3,13,2020-09-30,2020-09-30
35-44,unknown,2020-09-30,15,15,0.11,0,,,,2020-09-30,2020-09-30
25-34,unknown,2020-09-30,4,5,0.04,0,,,,2020-09-30,2020-09-30
18-24,unknown,2020-09-30,2,2,0.01,0,,,,2020-09-30,2020-09-30
25-34,male,2020-09-29,1672,1785,15.59,161,,2,10,2020-09-29,2020-09-29
18-24,male,2020-09-29,294,299,2.42,26,,,,2020-09-29,2020-09-29
18-24,female,2020-09-29,224,227,1.92,26,,,1,2020-09-29,2020-09-29
35-44,male,2020-09-29,1136,1286,11.78,139,,1,7,2020-09-29,2020-09-29
35-44,female,2020-09-29,1738,1925,16.41,246,,2,8,2020-09-29,2020-09-29
25-34,female,2020-09-29,1464,1584,13.99,181,,1,7,2020-09-29,2020-09-29
35-44,unknown,2020-09-29,8,12,0.14,2,,,,2020-09-29,2020-09-29
25-34,unknown,2020-09-29,10,14,0.08,0,,,,2020-09-29,2020-09-29
18-24,unknown,2020-09-29,3,3,0.02,0,,,,2020-09-29,2020-09-29
25-34,male,2020-09-28,2224,2362,18.92,322,2,,14,2020-09-28,2020-09-28
35-44,unknown,2020-09-28,12,12,0.11,4,,,,2020-09-28,2020-09-28
18-24,female,2020-09-28,386,406,3,59,,,,2020-09-28,2020-09-28
35-44,female,2020-09-28,1066,1145,9.15,179,,,7,2020-09-28,2020-09-28
35-44,male,2020-09-28,850,879,7.09,120,,2,9,2020-09-28,2020-09-28
25-34,female,2020-09-28,1998,2025,16.11,299,,4,7,2020-09-28,2020-09-28
18-24,male,2020-09-28,467,467,3.35,62,,,,2020-09-28,2020-09-28
25-34,unknown,2020-09-28,6,9,0.06,2,,,,2020-09-28,2020-09-28
18-24,unknown,2020-09-28,2,2,0.02,1,,,,2020-09-28,2020-09-28
35-44,female,2020-09-27,1314,1389,10.53,188,,,6,2020-09-27,2020-09-27
18-24,male,2020-09-27,210,251,2.15,21,,,2,2020-09-27,2020-09-27
18-24,female,2020-09-27,370,384,3.38,26,,,3,2020-09-27,2020-09-27
35-44,male,2020-09-27,878,912,6.94,106,,,5,2020-09-27,2020-09-27
25-34,unknown,2020-09-27,12,14,0.11,0,,,,2020-09-27,2020-09-27
35-44,unknown,2020-09-27,6,11,0.11,2,,,,2020-09-27,2020-09-27
25-34,female,2020-09-27,1960,2141,17.74,211,,1,8,2020-09-27,2020-09-27
25-34,male,2020-09-27,1370,1470,12.22,134,,4,6,2020-09-27,2020-09-27
18-24,unknown,2020-09-27,2,2,0,0,,,,2020-09-27,2020-09-27
35-44,unknown,2020-09-26,2,2,0,0,,,,2020-09-26,2020-09-26
25-34,unknown,2020-09-26,13,13,0.36,1,,1,,2020-09-26,2020-09-26
25-34,female,2020-09-26,1082,1226,15.24,87,,,3,2020-09-26,2020-09-26
35-44,male,2020-09-26,122,122,0.99,6,,,,2020-09-26,2020-09-26
18-24,female,2020-09-26,290,328,3.33,28,,1,3,2020-09-26,2020-09-26
25-34,male,2020-09-26,2085,2275,25.17,122,,2,14,2020-09-26,2020-09-26
18-24,male,2020-09-26,535,597,5.15,27,,,2,2020-09-26,2020-09-26
35-44,female,2020-09-26,121,122,1.24,20,,,,2020-09-26,2020-09-26
18-24,female,2020-09-25,21,21,0.26,0,,,,2020-09-25,2020-09-25
25-34,male,2020-09-25,63,63,1.51,3,,,,2020-09-25,2020-09-25
18-24,male,2020-09-25,17,17,0.31,0,,,,2020-09-25,2020-09-25
25-34,female,2020-09-25,115,116,2.39,9,,,4,2020-09-25,2020-09-25
